edit_history_tweet_ids,author_id,text,public_metrics,id
['1610727736833605646'],1059845679923761153,"If you'rе а crypto trader, you must see this. @thisisksa @MuneebShahzadMS @coolcat1199 @dami8886 @Ekanemdey4u @DokusKwak_ @schito_stefano @lewisbroten @MusaJam43876739 @carlosedder @Aloul40 @doganbs @MikeMason042909 @supayot @hsktrbrftb https://t.co/XVHeag7hvg","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 2}",1610727736833605646
['1610727736821321728'],1545407758366679041,"@StarryNift metaverse project looks very interesting 
Metaverse is still a dream for some people

Let's support @StarryNift to become the top metaverse project

@fahrizaidr 
@Lukman246681808 
@AdinataBarata

#HappyNewYear2023 #airdrop #giveaway https://t.co/4SwsK06QJE","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 1}",1610727736821321728
['1610727736712253440'],1593500486292111363,"RT @AniwarOfficial: 💎 ANIWAR AIRDROP CAMPAIGN - PHASE 2 💎

LINK ➡️ https://t.co/wrHX2UuhGd

🏆 Top 5 of 200 Referrals will win 200,000 $ANIW…","{'retweet_count': 7840, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727736712253440
['1610727736632569857'],1564667474335137793,"Over time, we will release more mood trackers for different #cryptocurrency. For now, follow @SophiasMood, @SophiasBTCMood, @SophiasETHMood, &amp; @SophiasBNBMood for market &amp; coin mood trackers. We offer the most reliable #Crypto intelligence for the #cryptocommunity.","{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 23}",1610727736632569857
['1610727736472993793'],1575912122499973141,"RT @Custodios_nft: The long-awaited 1:1 drop is coming this month😱

In the collection you will find many familiar faces of people you follo…","{'retweet_count': 945, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727736472993793
['1610727735571410945'],1488550701374525440,"RT @Sebastian_B_S: XDCPay2.0 looks attractive and user-friendly!!!
If you have not tested the new #XDCPay beta version check it now and com…","{'retweet_count': 22, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727735571410945
['1610727734946193411'],1496715994617851905,"RT @Babyapessociety: Babyapessociety OAT Campaign edition 3

 @BabyApesSociety third oat. Claim to get benefits in the future.The holders o…","{'retweet_count': 13242, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727734946193411
['1610727734077947915'],1554816399385759744,"$NDF price go up 2.63% in last minute on #MEXCTrading pair:#NDF/#USDT👉https://t.co/wP9reHjAjAlast price: $ 0.0018081 #cryptocurrency #crypto #cryptonews #cryptoAlerts #blockchain  #cryptotrading #cryptoprices #altcoins #bitcoin","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'impression_count': 18}",1610727734077947915
['1610727733419442189'],1595305372725743618,RT @GolfGod707: @VoltInuOfficial ⚡️ #VOLT #VOLTICHANGE @Pablo_cro @LimitlessVolt1 @VoltInuOfficial @TheGen35 @RealElMusa  @cryptolatina111…,"{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727733419442189
['1610727733335855104'],1307267102781440000,"@reynor_eth @trahpxle I never thought I'd be interested in crypto, but this video about someone making 100+ ETH passively on Uniswap has me hooked 🤑  https://t.co/dyMBIRLtfV","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'impression_count': 2}",1610727733335855104
